"# value_kind: derived=tokens_per_call,n_calls,n_blocks,waves,grid_sat_sm,grid_sat_sm_pred,grid_starved,asym_headroom; metadata=model,device,config_status,batch,seq,chunk_granularity,ssd_chunk,n_heads,sm_count,blocks_per_sm"
model__metadata,device__metadata,config_status__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,ssd_chunk__metadata,n_heads__metadata,sm_count__metadata,blocks_per_sm__metadata,tokens_per_call__derived,n_calls__derived,n_blocks__derived,waves__derived,grid_sat_sm__derived,grid_sat_sm_pred__derived,grid_starved__derived,asym_headroom__derived
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,full,256,64,54,1,8192,1,262144,4854.5185,262144,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,full,256,64,68,1,8192,1,262144,3855.0588,262144,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,full,256,64,81,1,8192,1,262144,3236.3457,262144,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,full,256,64,94,1,8192,1,262144,2788.766,262144,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,128,8192,full,256,64,108,1,8192,1,262144,2427.2593,262144,108,False,False
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,256,256,16,14,1,256,8,16,1.1429,16,16,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,256,256,16,27,1,256,8,16,0.5926,16,16,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,256,256,16,40,1,256,8,16,0.4,16,16,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,256,256,16,54,1,256,8,16,0.2963,16,16,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,256,256,16,68,1,256,8,16,0.2353,16,16,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,256,256,16,81,1,256,8,16,0.1975,16,16,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,256,256,16,94,1,256,8,16,0.1702,16,16,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,256,256,16,108,1,256,8,16,0.1481,16,16,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,512,256,16,14,1,512,4,32,2.2857,32,32,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,512,256,16,27,1,512,4,32,1.1852,32,32,True,True
falcon_h1_1.5b,a100_sxm4_80gb,provisional,1,2048,512,256,16,40,1,512,4,32,0.8,32,32,True,True
