metric,batch,context_len,value,unit,value_kind,note
per_layer_ratio_with_weight,16,131072,322.390587,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,512,3.105329,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,1024,5.265559,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,2048,9.586017,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,4096,18.226933,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,8192,35.508767,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,16384,70.072433,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,32768,139.199766,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,65536,277.454431,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,131072,553.963762,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
judgment_Lstar_layer,1,,7168.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,1,,61821.15,tokens,derived,smallest L with R>= 2.0; in_workload=False
judgment_Lstar_layer,4,,1792.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,4,,16072.8,tokens,derived,smallest L with R>= 2.0; in_workload=True
judgment_Lstar_layer,8,,896.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,8,,8448.08,tokens,derived,smallest L with R>= 2.0; in_workload=True
judgment_Lstar_layer,16,,448.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,16,,4635.71,tokens,derived,smallest L with R>= 2.0; in_workload=True
judgment_Lstar_layer,32,,224.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,32,,2729.53,tokens,derived,smallest L with R>= 2.0; in_workload=True
