"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,ssm,1,2048,256,256,0,68,ok,30,64,0.9412,0.512,0.00917,8.736,0.428
falcon_h1_3b,verified,ssm,1,2048,512,512,0,68,ok,30,128,1.8824,0.52019,0.00626,17.197,0.843
falcon_h1_3b,verified,ssm,8,2048,256,256,0,68,ok,30,512,7.5294,0.58214,0.00671,61.467,3.015
falcon_h1_3b,verified,ssm,8,2048,512,512,0,68,ok,30,1024,15.0588,0.68096,0.00439,105.095,5.154
falcon_h1_3b,verified,ssm,32,2048,256,256,0,68,ok,30,2048,30.1176,1.20115,0.00461,119.161,5.844
falcon_h1_3b,verified,ssm,32,2048,512,512,0,68,ok,30,4096,60.2353,2.17702,0.00451,131.492,6.449
falcon_h1_3b,verified,ssm,128,2048,256,256,0,68,ok,30,8192,120.4706,4.39962,0.01033,130.13,6.382
falcon_h1_3b,verified,ssm,128,2048,512,512,0,68,ok,30,16384,240.9412,8.2519,0.0115,138.761,6.805
falcon_h1_3b,verified,ssm_full,1,2048,256,256,0,68,ok,30,64,0.9412,0.62054,0.00645,122.957,6.03
falcon_h1_3b,verified,ssm_full,1,2048,512,512,0,68,ok,30,128,1.8824,0.67738,0.00653,132.402,6.493
falcon_h1_3b,verified,ssm_full,8,2048,256,256,0,68,ok,30,512,7.5294,1.12026,0.00142,151.752,7.442
falcon_h1_3b,verified,ssm_full,8,2048,512,512,0,68,ok,30,1024,15.0588,2.06643,0.00299,134.089,6.576
falcon_h1_3b,verified,ssm_full,32,2048,256,256,0,68,ok,30,2048,30.1176,4.05197,0.00197,121.239,5.946
falcon_h1_3b,verified,ssm_full,32,2048,512,512,0,68,ok,30,4096,60.2353,7.8633,0.003,116.949,5.736
falcon_h1_3b,verified,ssm_full,128,2048,256,256,0,68,ok,30,8192,120.4706,15.8761,0.02886,111.884,5.487
falcon_h1_3b,verified,ssm_full,128,2048,512,512,0,68,ok,30,16384,240.9412,31.28525,0.01134,111.543,5.47
falcon_h1_3b,verified,attn,1,2048,256,256,0,68,ok,30,40,0.5882,0.04608,0.00167,125.156,6.138
falcon_h1_3b,verified,attn,1,2048,256,256,4096,68,ok,30,40,0.5882,0.10342,0.0013,96.317,4.724
falcon_h1_3b,verified,attn,1,2048,512,512,0,68,ok,30,80,1.1765,0.0553,0.00165,208.593,10.23
falcon_h1_3b,verified,attn,1,2048,512,512,4096,68,ok,30,80,1.1765,0.1577,0.00163,99.74,4.892
falcon_h1_3b,verified,attn,8,2048,256,256,0,68,ok,30,320,4.7059,0.05222,0.00102,883.451,43.328
falcon_h1_3b,verified,attn,8,2048,256,256,4096,68,ok,30,320,4.7059,0.4823,0.00141,165.231,8.104
falcon_h1_3b,verified,attn,8,2048,512,512,0,68,ok,30,640,9.4118,0.10342,0.00254,892.198,43.757
falcon_h1_3b,verified,attn,8,2048,512,512,4096,68,ok,30,640,9.4118,0.80998,0.00094,155.348,7.619
falcon_h1_3b,verified,attn,32,2048,256,256,0,68,ok,30,1280,18.8235,0.11981,0.00302,1540.376,75.546
falcon_h1_3b,verified,attn,32,2048,256,256,4096,68,ok,30,1280,18.8235,1.4807,0.00153,215.281,10.558
falcon_h1_3b,verified,attn,32,2048,512,512,0,68,ok,30,2560,37.6471,0.28365,0.00271,1301.256,63.818
falcon_h1_3b,verified,attn,32,2048,512,512,4096,68,ok,30,2560,37.6471,2.93786,0.01008,171.321,8.402
falcon_h1_3b,verified,attn,128,2048,256,256,0,68,ok,30,5120,75.2941,0.36557,0.00287,2019.316,99.035
falcon_h1_3b,verified,attn,128,2048,256,256,4096,68,ok,30,5120,75.2941,5.51117,0.01157,231.361,11.347
falcon_h1_3b,verified,attn,128,2048,512,512,0,68,ok,30,10240,150.5882,0.99789,0.00223,1479.52,72.561
falcon_h1_3b,verified,attn,128,2048,512,512,4096,68,ok,30,10240,150.5882,11.59424,0.01156,173.644,8.516
falcon_h1_3b,verified,ssm,1,2048,256,256,0,81,ok,30,64,0.7901,0.50381,0.00826,8.878,0.435
falcon_h1_3b,verified,ssm,1,2048,512,512,0,81,ok,30,128,1.5802,0.50842,0.00629,17.596,0.863
falcon_h1_3b,verified,ssm,8,2048,256,256,0,81,ok,30,512,6.321,0.55962,0.00696,63.942,3.136
falcon_h1_3b,verified,ssm,8,2048,512,512,0,81,ok,30,1024,12.642,0.63949,0.00505,111.911,5.489
falcon_h1_3b,verified,ssm,32,2048,256,256,0,81,ok,30,2048,25.284,1.09056,0.00385,131.245,6.437
falcon_h1_3b,verified,ssm,32,2048,512,512,0,81,ok,30,4096,50.5679,1.99117,0.00616,143.766,7.051
falcon_h1_3b,verified,ssm,128,2048,256,256,0,81,ok,30,8192,101.1358,4.09242,0.00756,139.898,6.861
falcon_h1_3b,verified,ssm,128,2048,512,512,0,81,ok,30,16384,202.2716,7.64928,0.06231,149.693,7.342
falcon_h1_3b,verified,ssm_full,1,2048,256,256,0,81,ok,30,64,0.7901,0.59136,0.00817,129.025,6.328
falcon_h1_3b,verified,ssm_full,1,2048,512,512,0,81,ok,30,128,1.5802,0.6103,0.0051,146.953,7.207
falcon_h1_3b,verified,ssm_full,8,2048,256,256,0,81,ok,30,512,6.321,0.93184,0.00133,182.435,8.947
falcon_h1_3b,verified,ssm_full,8,2048,512,512,0,81,ok,30,1024,12.642,1.72339,0.00142,160.78,7.885
falcon_h1_3b,verified,ssm_full,32,2048,256,256,0,81,ok,30,2048,25.284,3.37101,0.00784,145.73,7.147
falcon_h1_3b,verified,ssm_full,32,2048,512,512,0,81,ok,30,4096,50.5679,6.67802,0.02259,137.706,6.754
falcon_h1_3b,verified,ssm_full,128,2048,256,256,0,81,ok,30,8192,101.1358,13.73133,0.04247,129.36,6.344
falcon_h1_3b,verified,ssm_full,128,2048,512,512,0,81,ok,30,16384,202.2716,26.98342,0.07635,129.326,6.343
falcon_h1_3b,verified,attn,1,2048,256,256,0,81,ok,30,40,0.4938,0.04096,0.00197,140.8,6.905
falcon_h1_3b,verified,attn,1,2048,256,256,4096,81,ok,30,40,0.4938,0.10035,0.00238,99.265,4.868
falcon_h1_3b,verified,attn,1,2048,512,512,0,81,ok,30,80,0.9877,0.05325,0.00288,216.615,10.624
falcon_h1_3b,verified,attn,1,2048,512,512,4096,81,ok,30,80,0.9877,0.14848,0.00133,105.931,5.195
falcon_h1_3b,verified,attn,8,2048,256,256,0,81,ok,30,320,3.9506,0.0471,0.00074,979.478,48.037
