"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_7b,,ssm,16,4096,94,failed:OSError,0,,,,
zamba2_7b,,ssm,32,4096,94,failed:OSError,0,,,,
zamba2_7b,,ssm,64,4096,94,failed:OSError,0,,,,
zamba2_7b,,ssm,128,4096,94,failed:OSError,0,,,,
zamba2_7b,,ssm,256,4096,94,failed:OSError,0,,,,
zamba2_7b,,ssm,512,4096,94,failed:OSError,0,,,,
zamba2_7b,verified,attn,1,4096,108,ok,30,0.11264,0.00213,1043.764,51.19
zamba2_7b,verified,attn,2,4096,108,ok,30,0.1792,0.00192,1312.16,64.353
zamba2_7b,verified,attn,4,4096,108,ok,30,0.32666,0.00307,1439.674,70.607
zamba2_7b,verified,attn,8,4096,108,ok,30,0.95949,0.00082,980.269,48.076
zamba2_7b,verified,attn,16,4096,108,ok,30,1.60051,0.01201,1175.319,57.642
zamba2_7b,verified,attn,32,4096,108,ok,30,3.20666,0.0083,1173.255,57.541
zamba2_7b,verified,attn,64,4096,108,ok,30,6.22438,0.06132,1208.867,59.287
zamba2_7b,verified,attn,128,4096,108,ok,30,12.56038,0.08342,1198.124,58.76
zamba2_7b,verified,attn,256,4096,108,ok,30,25.37882,0.34438,1185.942,58.163
zamba2_7b,,attn,512,4096,108,failed:oom,0,,,,
zamba2_7b,,ssm,1,4096,108,failed:OSError,0,,,,
zamba2_7b,,ssm,2,4096,108,failed:OSError,0,,,,
zamba2_7b,,ssm,4,4096,108,failed:OSError,0,,,,
zamba2_7b,,ssm,8,4096,108,failed:OSError,0,,,,
zamba2_7b,,ssm,16,4096,108,failed:OSError,0,,,,
zamba2_7b,,ssm,32,4096,108,failed:OSError,0,,,,
zamba2_7b,,ssm,64,4096,108,failed:OSError,0,,,,
zamba2_7b,,ssm,128,4096,108,failed:OSError,0,,,,
zamba2_7b,,ssm,256,4096,108,failed:OSError,0,,,,
zamba2_7b,,ssm,512,4096,108,failed:OSError,0,,,,
