"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,ssm,8,1024,108,ok,30,0.51661,0.00902,0.271,0.013
falcon_h1_3b,verified,ssm,8,4096,108,ok,30,0.51354,0.00625,0.273,0.013
falcon_h1_3b,verified,ssm,8,16384,108,ok,30,0.51046,0.00735,0.274,0.013
falcon_h1_3b,verified,ssm,32,1024,108,ok,30,0.58573,0.00566,0.955,0.047
falcon_h1_3b,verified,ssm,32,4096,108,ok,30,0.58419,0.00459,0.957,0.047
falcon_h1_3b,verified,ssm,32,16384,108,ok,30,0.58522,0.00644,0.956,0.047
falcon_h1_3b,verified,ssm,128,1024,108,ok,30,1.67117,0.17866,1.338,0.066
falcon_h1_3b,verified,ssm,128,4096,108,ok,30,1.67219,0.00417,1.338,0.066
falcon_h1_3b,verified,ssm,128,16384,108,ok,30,1.67219,0.00378,1.338,0.066
falcon_h1_3b,verified,ssm,256,1024,108,ok,30,3.16365,0.00424,1.414,0.069
falcon_h1_3b,verified,ssm,256,4096,108,ok,30,3.16006,0.00504,1.415,0.069
falcon_h1_3b,verified,ssm,256,16384,108,ok,30,3.16826,0.00524,1.412,0.069
falcon_h1_3b,verified,attn,8,1024,108,ok,30,0.06195,0.00167,138.314,6.783
falcon_h1_3b,verified,attn,8,4096,108,ok,30,0.13466,0.00213,250.525,12.287
falcon_h1_3b,verified,attn,8,16384,108,ok,30,0.41574,0.00271,323.271,15.854
falcon_h1_3b,verified,attn,32,1024,108,ok,30,0.15565,0.0016,220.211,10.8
falcon_h1_3b,verified,attn,32,4096,108,ok,30,0.4864,0.00108,277.423,13.606
falcon_h1_3b,verified,attn,32,16384,108,ok,30,1.98349,0.03261,271.034,13.292
falcon_h1_3b,verified,attn,128,1024,108,ok,30,0.54067,0.00173,253.576,12.436
falcon_h1_3b,verified,attn,128,4096,108,ok,30,1.90874,0.00986,282.781,13.869
falcon_h1_3b,verified,attn,128,16384,108,ok,30,7.59194,0.09989,283.244,13.891
falcon_h1_3b,verified,attn,256,1024,108,ok,30,1.05267,0.00762,260.482,12.775
falcon_h1_3b,verified,attn,256,4096,108,ok,30,3.89939,0.05069,276.84,13.577
falcon_h1_3b,verified,attn,256,16384,108,ok,30,15.02822,0.4582,286.177,14.035
