"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,two_stream,,108,108,ok,0.5084,0.9277,0.5238,0.9574,0.9574,0.6667,1.5,3.2009,300.8021
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,green_ctx,0.5,54,54,ok,0.5084,0.9277,0.5356,1.7428,1.7428,1.2135,0.824,87.8587,165.2468
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,green_ctx,0.7,76,32,ok,0.5084,0.9277,0.534,2.8334,2.8334,1.9729,0.5069,205.4084,101.6444
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,sequential,,108,108,ok,0.5084,1.7725,0.5084,1.7725,2.281,1.0,1.0,0.0,140.2918
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,two_stream,,108,108,ok,0.5084,1.7725,0.5294,1.8698,1.8698,0.8198,1.2199,5.4882,171.1391
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,green_ctx,0.5,54,54,ok,0.5084,1.7725,0.5391,3.4033,3.4033,1.492,0.6702,91.9988,94.0274
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,green_ctx,0.7,76,32,ok,0.5084,1.7725,0.5381,5.63,5.63,2.4682,0.4051,217.6199,56.8389
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,sequential,,108,108,ok,0.5105,3.7975,0.5105,3.7975,4.308,1.0,1.0,0.0,89.1372
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,two_stream,,108,108,ok,0.5105,3.7975,0.5258,3.7985,3.7985,0.8817,1.1341,0.027,101.0918
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,green_ctx,0.5,54,54,ok,0.5105,3.7975,0.5381,6.7953,6.7953,1.5774,0.634,78.9403,56.5099
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,green_ctx,0.7,76,32,ok,0.5105,3.7975,0.5386,11.0986,11.0986,2.5763,0.3882,192.261,34.5989
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,sequential,,108,108,ok,0.512,7.6534,0.512,7.6534,8.1654,1.0,1.0,0.0,62.7038
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,two_stream,,108,108,ok,0.512,7.6534,0.5268,7.4138,7.4138,0.908,1.1014,-3.1309,69.0608
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,green_ctx,0.5,54,54,ok,0.512,7.6534,0.5386,13.2874,13.2874,1.6273,0.6145,73.6152,38.5327
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,green_ctx,0.7,76,32,ok,0.512,7.6534,0.5427,22.1215,22.1215,2.7092,0.3691,189.042,23.1449
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,sequential,,108,108,ok,0.5089,0.4147,0.5089,0.4147,0.9236,1.0,1.0,0.0,285.8232
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,two_stream,,108,108,ok,0.5089,0.4147,0.513,0.4347,0.513,0.5554,1.8004,4.8148,514.5958
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,green_ctx,0.5,54,54,ok,0.5089,0.4147,0.5268,0.4966,0.5268,0.5704,1.7532,19.7531,501.0933
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,green_ctx,0.7,76,32,ok,0.5089,0.4147,0.5345,0.7629,0.7629,0.8259,1.2107,83.9506,346.057
