"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,sequential,,108,108,ok,0.5038,0.854,0.5038,0.854,1.3578,1.0,1.0,0.0,235.6712
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,two_stream,,108,108,ok,0.5038,0.854,0.5007,0.8561,0.8561,0.6305,1.5861,0.2398,373.8038
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,green_ctx,0.5,54,54,ok,0.5038,0.854,0.5207,1.193,1.193,0.8786,1.1382,39.6883,268.2403
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,green_ctx,0.7,76,32,ok,0.5038,0.854,0.5238,1.7039,1.7039,1.2549,0.7969,99.5204,187.8005
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,sequential,,108,108,ok,0.5084,1.5427,0.5084,1.5427,2.0511,1.0,1.0,0.0,187.2192
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,two_stream,,108,108,ok,0.5084,1.5427,0.5166,1.5427,1.5427,0.7521,1.3296,0.0,248.9213
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,green_ctx,0.5,54,54,ok,0.5084,1.5427,0.5258,2.2006,2.2006,1.0729,0.9321,42.6485,174.4998
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,green_ctx,0.7,76,32,ok,0.5084,1.5427,0.5228,3.2,3.2,1.5602,0.641,107.4345,120.0
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,256,1024,256,256,sequential,,108,108,ok,0.5094,2.9036,0.5094,2.9036,3.413,1.0,1.0,0.0,150.015
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,256,1024,256,256,two_stream,,108,108,ok,0.5094,2.9036,0.5202,2.9169,2.9169,0.8546,1.1701,0.4585,175.531
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,256,1024,256,256,green_ctx,0.5,54,54,ok,0.5094,2.9036,0.5222,4.2394,4.2394,1.2421,0.8051,46.006,120.773
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,256,1024,256,256,green_ctx,0.7,76,32,ok,0.5094,2.9036,0.5217,6.2049,6.2049,1.818,0.55,113.7013,82.5151
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,8,2048,256,256,sequential,,108,108,ok,0.5064,0.5064,0.5064,0.5064,1.0127,1.0,1.0,0.0,260.68
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,8,2048,256,256,two_stream,,108,108,ok,0.5064,0.5064,0.4946,0.4987,0.5012,0.4949,2.0204,-1.5167,526.6854
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,8,2048,256,256,green_ctx,0.5,54,54,ok,0.5064,0.5064,0.5028,0.533,0.533,0.5263,1.9001,5.2578,495.317
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,8,2048,256,256,green_ctx,0.7,76,32,ok,0.5064,0.5064,0.511,0.5745,0.5745,0.5672,1.7629,13.4479,459.5588
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,32,2048,256,256,sequential,,108,108,ok,0.5125,0.5944,0.5125,0.5944,1.1069,1.0,1.0,0.0,260.1758
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,32,2048,256,256,two_stream,,108,108,ok,0.5125,0.5944,0.5028,0.5939,0.5939,0.5365,1.8638,-0.0861,484.9138
