"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,green_ctx,0.7,76,32,ok,0.514,8.1961,0.5437,22.6744,22.6744,2.6032,0.3841,176.6492,12.7015
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,sequential,,108,108,ok,0.5171,15.8991,0.5171,15.8991,16.4163,1.0,1.0,0.0,19.4929
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,two_stream,,108,108,ok,0.5171,15.8991,0.5407,15.6605,15.6605,0.954,1.0483,-1.5007,20.4335
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,green_ctx,0.5,54,54,ok,0.5171,15.8991,0.5484,26.9466,26.9466,1.6415,0.6092,69.4844,11.8754
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,green_ctx,0.7,76,32,ok,0.5171,15.8991,0.5396,45.3038,45.3038,2.7597,0.3624,184.9451,7.0634
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,sequential,,108,108,ok,0.5156,31.7046,0.5156,31.7046,32.2202,1.0,1.0,0.0,11.918
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,two_stream,,108,108,ok,0.5156,31.7046,0.5417,31.2596,31.2596,0.9702,1.0307,-1.4034,12.2842
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,green_ctx,0.5,54,54,ok,0.5156,31.7046,0.5478,53.6259,53.6259,1.6644,0.6008,69.1423,7.1607
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,green_ctx,0.7,76,32,ok,0.5156,31.7046,0.5484,90.3265,90.3265,2.8034,0.3567,184.9006,4.2512
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,sequential,,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,two_stream,,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,green_ctx,0.5,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,green_ctx,0.7,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,sequential,,108,108,ok,0.5181,0.5417,0.5181,0.5417,1.0598,1.0,1.0,0.0,249.0942
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,two_stream,,108,108,ok,0.5181,0.5417,0.5059,0.5356,0.5356,0.5053,1.979,-1.1342,492.9493
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,green_ctx,0.5,54,54,ok,0.5181,0.5417,0.5181,0.5939,0.5939,0.5604,1.7845,9.6408,444.5043
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,green_ctx,0.7,76,32,ok,0.5181,0.5417,0.514,0.6697,0.6697,0.6319,1.5826,23.6295,394.2087
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,sequential,,108,108,ok,0.511,0.7286,0.511,0.7286,1.2396,1.0,1.0,0.0,232.342
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,two_stream,,108,108,ok,0.511,0.7286,0.5094,0.7158,0.7158,0.5774,1.7318,-1.7568,402.3605
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,green_ctx,0.5,54,54,ok,0.511,0.7286,0.5238,0.9559,0.9559,0.7712,1.2967,31.2017,301.2855
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,green_ctx,0.7,76,32,ok,0.511,0.7286,0.5243,1.2759,1.2759,1.0293,0.9715,75.123,225.7223
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,sequential,,108,108,ok,0.5084,0.9626,0.5084,0.9626,1.471,1.0,1.0,0.0,217.5426
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,two_stream,,108,108,ok,0.5084,0.9626,0.5089,0.9508,0.9508,0.6464,1.5471,-1.2234,336.5644
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,green_ctx,0.5,54,54,ok,0.5084,0.9626,0.5304,1.494,1.494,1.0157,0.9846,55.2128,214.1878
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,64,1024,256,256,green_ctx,0.7,76,32,ok,0.5084,0.9626,0.5304,2.303,2.303,1.5656,0.6387,139.2553,138.9507
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,sequential,,108,108,ok,0.5115,1.6563,0.5115,1.6563,2.1678,1.0,1.0,0.0,177.1375
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,two_stream,,108,108,ok,0.5115,1.6563,0.5207,1.6486,1.6486,0.7605,1.3149,-0.4637,232.9192
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,ssm,128,1024,256,256,green_ctx,0.5,54,54,ok,0.5115,1.6563,0.533,2.7873,2.7873,1.2858,0.7777,68.2844,137.7663
